name,value
FBtr0334644.1,CG13685
FBtr0076810.1,CG7409
FBtr0076811.1,Hn
FBtr0334646.1,Hn
FBtr0334645.1,Hn
FBtr0100225.1,Hn
FBtr0334648.1,Clk
FBtr0076785.1,Clk
FBtr0334647.1,Clk
FBtr0100134.1,Clk
FBtr0100132.1,Clk
FBtr0076788.1,CG32371
FBtr0304992.1,CG32369
FBtr0076783.1,CG32369
FBtr0306535.1,Pdp1
FBtr0346536.1,Pdp1
FBtr0332083.1,Pdp1
FBtr0300500.1,Pdp1
FBtr0076782.1,Pdp1
FBtr0332081.1,Pdp1
FBtr0076777.1,Pdp1
FBtr0076776.1,Pdp1
FBtr0076775.1,Pdp1
FBtr0332082.1,Pdp1
FBtr0300499.1,Pdp1
FBtr0332080.1,Pdp1
FBtr0076780.1,Pdp1
FBtr0076746.1,CG32365
FBtr0339897.1,CG32365
FBtr0076747.1,eIF4E-5
FBtr0112817.1,pbl
FBtr0076774.1,pbl
FBtr0076773.1,pbl
FBtr0076772.1,pbl
FBtr0076771.1,pbl
FBtr0306647.1,pbl
FBtr0076748.1,CG8281
FBtr0076770.1,CG8111
FBtr0076749.1,CG32368
FBtr0345912.1,syd
FBtr0332792.1,syd
FBtr0300412.1,syd
FBtr0076769.1,syd
FBtr0332791.1,syd
FBtr0332787.1,syd
FBtr0332788.1,syd
FBtr0300413.1,syd
FBtr0332789.1,syd
FBtr0332790.1,syd
FBtr0076768.1,syd
FBtr0076750.1,Srp9
FBtr0332786.1,CG43880
FBtr0076751.1,exex
FBtr0076752.1,RNaseX25
FBtr0076766.1,CG8042
FBtr0076765.1,HP4
FBtr0076764.1,HP4
FBtr0076753.1,CG8209
FBtr0076763.1,CG8038
FBtr0076759.1,nmo
FBtr0076755.1,nmo
FBtr0333223.1,nmo
FBtr0076756.1,nmo
FBtr0076757.1,nmo
FBtr0076758.1,nmo
FBtr0076754.1,nmo
FBtr0076762.1,tRNA:CR32370
FBtr0302329.1,bip1
FBtr0076745.1,bip1
FBtr0346915.1,CR45867
FBtr0346916.1,CR45868
FBtr0076744.1,tRNA:CR32358
FBtr0076743.1,tRNA:CR32359
FBtr0076742.1,tRNA:CR32360
FBtr0304998.1,Ect4
FBtr0333948.1,Ect4
FBtr0304993.1,Ect4
FBtr0304996.1,Ect4
FBtr0304995.1,Ect4
FBtr0304999.1,Ect4
FBtr0304997.1,Ect4
FBtr0304994.1,Ect4
FBtr0076741.1,tRNA:CR32361
FBtr0076740.1,tRNA:CR32362
FBtr0076739.1,tRNA:CR32363
FBtr0301744.1,CG42590
FBtr0301743.1,CG42591
FBtr0333950.1,CR43974
FBtr0076738.1,CG7565
FBtr0076683.1,fan
FBtr0333949.1,CG7927
FBtr0334615.1,CG7927
FBtr0076684.1,CG7927
FBtr0304441.1,mir-2501
FBtr0304442.1,mir-2501
FBtr0304443.1,mir-2501
FBtr0076737.1,Arp3
FBtr0334087.1,Arp3
FBtr0076685.1,msk
FBtr0076687.1,ldbr
FBtr0076736.1,CG7550
FBtr0076735.1,mRpL36
FBtr0076734.1,Uba2
FBtr0346546.1,CdsA
FBtr0076688.1,CdsA
FBtr0273367.1,CG7504
FBtr0273368.1,CG7504
FBtr0076689.1,mus301
FBtr0076732.1,CG13676
FBtr0332761.1,CG13676
FBtr0300199.1,CG42445
FBtr0332760.1,CG42445
FBtr0332759.1,CG43886
FBtr0300119.1,CG13675
FBtr0330087.1,CG13675
FBtr0076729.1,RecQ4
FBtr0076728.1,Nmt
FBtr0076727.1,mthl7
FBtr0076726.1,mthl7
FBtr0076690.1,CG7979
FBtr0076724.1,ERR
FBtr0076725.1,ERR
FBtr0346917.1,CR45869
FBtr0346918.1,CR45870
FBtr0346547.1,Atg18a
FBtr0321321.1,Atg18a
FBtr0076692.1,Atg18a
FBtr0076691.1,Atg18a
FBtr0321320.1,Atg18a
FBtr0321319.1,Atg18a
FBtr0076693.1,Atg18a
FBtr0076694.1,MED24
FBtr0076723.1,CG7387
FBtr0332139.1,UbcE2M
FBtr0332138.1,UbcE2M
FBtr0076722.1,UbcE2M
FBtr0332137.1,CG8005
FBtr0076695.1,CG8005
FBtr0076721.1,CG7366
FBtr0076697.1,CG13679
FBtr0076720.1,CG32364
FBtr0076698.1,CG8006
FBtr0307388.1,CG8012
FBtr0076699.1,CG8012
FBtr0076719.1,CG13674
FBtr0333624.1,CG13674
FBtr0076700.1,CG13678
FBtr0076701.1,eIF4E-3
FBtr0333623.1,CR43953
FBtr0076718.1,CG7213
FBtr0299839.1,Dscam4
FBtr0333589.1,Dscam4
FBtr0299841.1,Dscam4
FBtr0333590.1,Dscam4
FBtr0299840.1,Dscam4
FBtr0076717.1,cert
FBtr0332136.1,cert
FBtr0345035.1,cert
FBtr0332135.1,CG7201
FBtr0076716.1,CG7201
FBtr0331832.1,Rab19
FBtr0076705.1,Rab19
FBtr0076715.1,CG7197
FBtr0076706.1,CG13671
FBtr0076714.1,CG7194
FBtr0076707.1,Sbp2
FBtr0300280.1,Gr66a
FBtr0076712.1,BI-1
FBtr0076711.1,BI-1
FBtr0345854.1,CR45409
FBtr0076710.1,CG7185
FBtr0304628.1,CG7185
FBtr0304642.1,CG43059
FBtr0076708.1,CG13670
FBtr0333056.1,CG34461
FBtr0112767.1,CG34461
FBtr0112768.1,CG34462
FBtr0076601.1,Cpr66Cb
FBtr0076602.1,Pex2
FBtr0076603.1,DNApol-alpha50
FBtr0076604.1,CG7083
FBtr0345596.1,CG7182
FBtr0076677.1,CG7182
FBtr0113153.1,GAPcenA
FBtr0076605.1,GAPcenA
FBtr0113154.1,CG17352
FBtr0076675.1,CG17352
FBtr0076674.1,CG17352
FBtr0076676.1,CG17352
FBtr0309679.1,mir-4913
FBtr0309680.1,mir-4913
FBtr0076671.1,Idh
FBtr0076673.1,Idh
FBtr0114549.1,Idh
FBtr0333058.1,Idh
FBtr0076668.1,Idh
FBtr0076669.1,Idh
FBtr0076667.1,Idh
FBtr0114548.1,Idh
FBtr0076670.1,Idh
FBtr0333057.1,ImpE1
FBtr0076606.1,ImpE1
FBtr0076607.1,ImpE1
FBtr0076608.1,Jon66Ci
FBtr0076666.1,Jon66Cii
FBtr0332983.1,CG7120
FBtr0307376.1,CG7120
FBtr0307378.1,CG7120
FBtr0307377.1,CG7120
FBtr0346628.1,mkg-p
FBtr0076664.1,mkg-p
FBtr0076665.1,mkg-p
FBtr0076678.1,CG33057
FBtr0344802.1,CG33057
FBtr0076611.1,CG13667
FBtr0076610.1,CG13667
FBtr0345038.1,Oseg1
FBtr0076663.1,Oseg1
FBtr0076612.1,Exo70
FBtr0076613.1,mtrm
FBtr0076662.1,CG32354
FBtr0076615.1,Cbl
FBtr0076614.1,Cbl
FBtr0345595.1,Unr
FBtr0308954.1,Unr
FBtr0114592.1,Unr
FBtr0332984.1,Unr
FBtr0076661.1,Unr
FBtr0345602.1,CG6983
FBtr0076659.1,CG6983
FBtr0305697.1,Gug
FBtr0076619.1,Gug
FBtr0305696.1,Gug
FBtr0333049.1,Gug
FBtr0305699.1,Gug
FBtr0305698.1,Gug
FBtr0333048.1,Gug
FBtr0076616.1,Gug
FBtr0076618.1,Gug
FBtr0308608.1,CG43163
FBtr0305700.1,CG43163
FBtr0076656.1,ZC3H3
FBtr0076620.1,CG6745
FBtr0333055.1,CG6765
FBtr0076621.1,CG6765
FBtr0333054.1,CG6765
FBtr0076655.1,CG6683
FBtr0076622.1,GstO3
FBtr0076623.1,se
FBtr0076654.1,GstO2
FBtr0076653.1,GstO2
FBtr0076652.1,GstO1
FBtr0076624.1,foi
FBtr0331418.1,foi
FBtr0345601.1,foi
FBtr0331417.1,foi
FBtr0301629.1,ergic53
FBtr0076626.1,ergic53
FBtr0305210.1,rhea
FBtr0333107.1,rhea
FBtr0305211.1,rhea
FBtr0333109.1,rhea
FBtr0333108.1,rhea
FBtr0305212.1,rhea
FBtr0333105.1,rhea
FBtr0333106.1,rhea
FBtr0333110.1,CR43910
FBtr0304250.1,mir-190
FBtr0304251.1,mir-190
FBtr0076651.1,CG6638
FBtr0340707.1,CG43078
FBtr0304810.1,CG43078
FBtr0333113.1,CG43078
FBtr0333112.1,CG43078
FBtr0304813.1,CG43078
FBtr0304811.1,CG43078
FBtr0304815.1,CG43078
FBtr0333111.1,CG43078
FBtr0304809.1,CG43078
FBtr0304807.1,CG43078
FBtr0304814.1,CG43078
FBtr0304808.1,CG43078
FBtr0304812.1,CG43078
FBtr0076650.1,Nelf-E
FBtr0076633.1,RpL14
FBtr0076634.1,snoRNA:U49:66Da
FBtr0076635.1,snoRNA:U49:66Db
FBtr0330166.1,CG5989
FBtr0076649.1,CG5989
FBtr0333114.1,CG5989
FBtr0076637.1,CG6282
FBtr0330165.1,CG6282
FBtr0300194.1,CG6282
FBtr0076636.1,CG6282
FBtr0076638.1,S-Lap1
FBtr0076639.1,S-Lap2
FBtr0076648.1,GAPsec
FBtr0089561.1,Zasp66
FBtr0301157.1,Zasp66
FBtr0301158.1,Zasp66
FBtr0301156.1,Zasp66
FBtr0089568.1,Zasp66
FBtr0089563.1,Zasp66
FBtr0301154.1,Zasp66
FBtr0089567.1,Zasp66
FBtr0089564.1,Zasp66
FBtr0089565.1,Zasp66
FBtr0089562.1,Zasp66
FBtr0089566.1,Zasp66
FBtr0076647.1,Cdc6
FBtr0076567.1,Cpr66D
FBtr0273348.1,CG13305
FBtr0273349.1,CG13305
FBtr0076568.1,Pex7
FBtr0273328.1,Pex7
FBtr0076599.1,Arr2
FBtr0100153.1,h
FBtr0076569.1,h
FBtr0340661.1,CR44526
FBtr0333891.1,SrpRbeta
FBtr0076598.1,SrpRbeta
FBtr0076597.1,CG32022
FBtr0344992.1,CG32022
FBtr0333887.1,CG6511
FBtr0076570.1,CG6511
FBtr0333890.1,CG43965
FBtr0076571.1,Cp18
FBtr0076572.1,Cp15
FBtr0076573.1,Cp19
FBtr0076574.1,Cp16
FBtr0076593.1,Prm
FBtr0076595.1,Prm
FBtr0076596.1,Prm
FBtr0076594.1,Prm
FBtr0306639.1,Prm
FBtr0076592.1,CG13306
FBtr0340662.1,CR44527
FBtr0333888.1,Fhos
FBtr0333889.1,Fhos
FBtr0306632.1,Fhos
FBtr0302583.1,Fhos
FBtr0302085.1,Fhos
FBtr0306630.1,Fhos
FBtr0302584.1,Fhos
FBtr0306631.1,Fhos
FBtr0302086.1,Fhos
FBtr0076576.1,CG6576
FBtr0076591.1,CG5804
FBtr0076590.1,CG13310
FBtr0076589.1,CG13311
FBtr0112727.1,CG34426
FBtr0076588.1,CG32023
FBtr0303231.1,CG34427
FBtr0076587.1,CG13312
FBtr0076580.1,CG32024
FBtr0303232.1,CG13308
FBtr0076582.1,CG13309
FBtr0076583.1,dally
FBtr0305901.1,dally
FBtr0076584.1,CG32026
FBtr0346845.1,CR45823
FBtr0305902.1,CG43169
FBtr0346919.1,CR45871
FBtr0076585.1,Mcm7
FBtr0331823.1,TrpA1
FBtr0331825.1,TrpA1
FBtr0331824.1,TrpA1
FBtr0331827.1,TrpA1
FBtr0331826.1,TrpA1
FBtr0076505.1,tRNA:T:Psi
FBtr0273286.1,mfr
FBtr0273289.1,mfr
FBtr0273290.1,mfr
FBtr0273291.1,mfr
FBtr0273288.1,mfr
FBtr0273285.1,mfr
FBtr0273287.1,mfr
FBtr0076506.1,Tsp66E
FBtr0076508.1,Tsp66E
FBtr0076507.1,Tsp66E
FBtr0333906.1,CR43970
FBtr0331519.1,CG43783
FBtr0331518.1,CG43783
FBtr0331517.1,CG43783
FBtr0331516.1,CG43783
FBtr0331520.1,CG43783
FBtr0331515.1,orb2
FBtr0331514.1,orb2
FBtr0331513.1,orb2
FBtr0331512.1,orb2
FBtr0331511.1,orb2
FBtr0076510.1,GNBP3
FBtr0076511.1,mRpL12
FBtr0076512.1,CG13313
FBtr0346542.1,CG5660
FBtr0076560.1,CG5660
FBtr0076559.1,CG5653
FBtr0076513.1,CG5021
FBtr0301139.1,CG5021
FBtr0076514.1,CG5021
FBtr0301140.1,CG5021
FBtr0301141.1,CG5026
FBtr0076516.1,CG5026
FBtr0076515.1,CG5026
FBtr0076557.1,pix
FBtr0076558.1,pix
FBtr0076517.1,Srp68
FBtr0076556.1,CG5644
FBtr0303233.1,CG13314
FBtr0076518.1,CG13314
FBtr0076553.1,Galk
FBtr0076554.1,Galk
FBtr0303234.1,Galk
FBtr0076555.1,Galk
FBtr0076519.1,CG5068
FBtr0333907.1,CG5068
FBtr0076552.1,CG5280
FBtr0076549.1,smg
FBtr0076550.1,smg
FBtr0290103.1,smg
FBtr0290104.1,smg
FBtr0076551.1,smg
FBtr0333908.1,CG5087
FBtr0076520.1,CG5087
FBtr0076521.1,Doc3
FBtr0333909.1,CG5194
FBtr0076548.1,CG5194
FBtr0076547.1,Doc2
FBtr0076522.1,Doc1
FBtr0331548.1,Doc1
FBtr0076523.1,CG5144
FBtr0345030.1,Argk
FBtr0076546.1,Argk
FBtr0076544.1,Argk
FBtr0076543.1,Argk
FBtr0076545.1,Argk
FBtr0331550.1,Argk
FBtr0112791.1,Argk
FBtr0345351.1,CG4911
FBtr0331549.1,CG4911
FBtr0076542.1,CG4911
FBtr0076524.1,CG4942
FBtr0344981.1,Tequila
FBtr0076527.1,Tequila
FBtr0344980.1,Tequila
FBtr0076525.1,Tequila
FBtr0076529.1,CG32032
FBtr0340709.1,CG13315
FBtr0076530.1,CG13315
FBtr0331858.1,bol
FBtr0344979.1,bol
FBtr0076538.1,bol
FBtr0076540.1,bol
FBtr0300462.1,bol
FBtr0076541.1,bol
FBtr0076539.1,bol
FBtr0076531.1,Dhpr
FBtr0100532.1,Dhpr
FBtr0100531.1,Dhpr
FBtr0076537.1,Use1
FBtr0331857.1,nwk
FBtr0344240.1,nwk
FBtr0309277.1,nwk
FBtr0344242.1,nwk
FBtr0344239.1,nwk
FBtr0344241.1,nwk
FBtr0309280.1,nwk
FBtr0344238.1,nwk
FBtr0309276.1,nwk
FBtr0309278.1,nwk
FBtr0309687.1,mir-4940
FBtr0309688.1,mir-4940
FBtr0309689.1,mir-4940
FBtr0333834.1,Rdl
FBtr0076536.1,Rdl
FBtr0333836.1,Rdl
FBtr0333835.1,Rdl
FBtr0076534.1,Rdl
FBtr0309054.1,Rdl
FBtr0332126.1,Slc45-1
FBtr0076503.1,Slc45-1
FBtr0332124.1,Slc45-1
FBtr0332125.1,Slc45-1
FBtr0076429.1,CG4476
FBtr0345853.1,CR45408
FBtr0076502.1,CG4483
FBtr0076430.1,CG4477
FBtr0330341.1,GluRIB
FBtr0334765.1,GluRIB
FBtr0330340.1,GluRIB
FBtr0346866.1,GluRIB
FBtr0076435.1,PGRP-LA
FBtr0076434.1,PGRP-LA
FBtr0333882.1,PGRP-LA
FBtr0076432.1,PGRP-LA
FBtr0076433.1,PGRP-LA
FBtr0300290.1,PGRP-LC
FBtr0089492.1,PGRP-LC
FBtr0346814.1,PGRP-LC
FBtr0301773.1,PGRP-LC
FBtr0089490.1,PGRP-LC
FBtr0089491.1,PGRP-LC
FBtr0308349.1,PGRP-LC
FBtr0300291.1,PGRP-LC
FBtr0076439.1,PGRP-LF
FBtr0301699.1,UGP
FBtr0076501.1,UGP
FBtr0301698.1,UGP
FBtr0076500.1,UGP
FBtr0076440.1,CG32040
FBtr0345605.1,CG32039
FBtr0076441.1,CG32039
FBtr0112761.1,Pdxk
FBtr0112762.1,CG34456
FBtr0333886.1,Klp67A
FBtr0346530.1,Klp67A
FBtr0076499.1,Klp67A
FBtr0076444.1,CG4447
FBtr0333883.1,CG4452
FBtr0089493.1,CG4452
FBtr0303475.1,Fdxh
FBtr0076498.1,Fdxh
FBtr0076497.1,Hsp67Bc
FBtr0303473.1,Hsp67Bb
FBtr0303474.1,Hsp67Bb
FBtr0100655.1,Hsp67Bb
FBtr0100653.1,Hsp67Bb
FBtr0100558.1,Hsp22
FBtr0100559.1,Hsp22
FBtr0076452.1,CG4461
FBtr0076496.1,Hsp26
FBtr0346539.1,Hsp26
FBtr0076495.1,Hsp67Ba
FBtr0344963.1,CR43481
FBtr0344962.1,CR43481
FBtr0309504.1,Hsp23
FBtr0076453.1,Hsp23
FBtr0346541.1,Hsp27
FBtr0076454.1,Hsp27
FBtr0309507.1,CR43483
FBtr0309505.1,CR43482
FBtr0309506.1,CG4080
FBtr0076494.1,CG4080
FBtr0076491.1,eIF-4E
FBtr0333884.1,eIF-4E
FBtr0333885.1,eIF-4E
FBtr0076490.1,eIF-4E
FBtr0076492.1,eIF-4E
FBtr0076487.1,eIF-4E
FBtr0076489.1,eIF-4E
FBtr0076488.1,eIF-4E
FBtr0076493.1,eIF-4E
FBtr0076455.1,Cpr67B
FBtr0309089.1,CG4022
FBtr0309088.1,CG4022
FBtr0076486.1,CG4022
FBtr0076456.1,CG3689
FBtr0110863.1,CG3689
FBtr0076483.1,CG3967
FBtr0076484.1,CG3967
FBtr0076481.1,CG3967
FBtr0076482.1,CG3967
FBtr0076480.1,CG3967
FBtr0331584.1,CG3967
FBtr0076485.1,CG3982
FBtr0076457.1,aay
FBtr0076458.1,Shc
FBtr0076479.1,RpS17
FBtr0113609.1,snoRNA:Psi28S-612
FBtr0076459.1,MTF-1
FBtr0344237.1,MTF-1
FBtr0344236.1,MTF-1
FBtr0113323.1,MTF-1
FBtr0113322.1,MTF-1
FBtr0076460.1,MTF-1
FBtr0113324.1,MTF-1
FBtr0300855.1,CG42526
FBtr0089879.1,Bet3
FBtr0346940.1,CR45872
FBtr0076504.1,Nf-YA
FBtr0344978.1,CG33926
FBtr0091930.1,CG33926
FBtr0331583.1,CG3529
FBtr0331582.1,CG3529
FBtr0076461.1,CG3529
FBtr0076476.1,CG3448
FBtr0076462.1,ghi
FBtr0345600.1,phol
FBtr0076475.1,phol
FBtr0114371.1,CG3552
FBtr0076463.1,CG3552
FBtr0346920.1,CR45873
FBtr0301032.1,CG3437
FBtr0076473.1,CG3434
FBtr0343559.1,CG44838
FBtr0343555.1,CG44838
FBtr0343556.1,CG44838
FBtr0343557.1,CG44838
FBtr0343558.1,CG44838
FBtr0343560.1,CG44838
FBtr0076472.1,Uch-L5
FBtr0333867.1,Uch-L5
FBtr0076468.1,Jarid2
FBtr0076471.1,pall
FBtr0114525.1,CG32036
FBtr0333866.1,CG32037
FBtr0076469.1,CG32037
FBtr0333865.1,path
FBtr0076427.1,path
FBtr0333864.1,path
FBtr0076426.1,CG3408
FBtr0333863.1,CG3408
FBtr0342577.1,RpS9
FBtr0076423.1,RpS9
FBtr0076424.1,RpS9
FBtr0076425.1,RpS9
FBtr0346921.1,CR45874
FBtr0114351.1,snoRNA:Me28S-G3253
FBtr0091691.1,CG33703
FBtr0091690.1,CG33702
FBtr0091689.1,CR33701
FBtr0301069.1,CG33700
FBtr0076375.1,Or67a
FBtr0336953.1,Ir67a
FBtr0302709.1,CG42673
FBtr0302711.1,CG42673
FBtr0302710.1,CG42673
FBtr0076378.1,CG14177
FBtr0076379.1,CG3222
FBtr0076421.1,CG3088
FBtr0076380.1,CG3306
FBtr0304601.1,CG3280
FBtr0076382.1,LanB2
FBtr0345031.1,LanB2
FBtr0076383.1,CG3335
FBtr0076420.1,Or67b
FBtr0076385.1,CG8336
FBtr0076384.1,CG8336
FBtr0076386.1,CG8336
FBtr0333855.1,CG8336
FBtr0333859.1,fry
FBtr0301435.1,fry
FBtr0076417.1,fry
FBtr0333858.1,fry
FBtr0333860.1,fry
FBtr0306242.1,fry
FBtr0306241.1,fry
FBtr0306240.1,fry
FBtr0076387.1,CG8329
FBtr0076388.1,CG18179
FBtr0076389.1,CG18180
FBtr0091684.1,CNMaR
FBtr0076392.1,CG16717
FBtr0076393.1,alphaTub67C
FBtr0333856.1,CG6767
FBtr0076416.1,CG6767
FBtr0345034.1,CG6767
FBtr0310662.1,CG6767
FBtr0333857.1,CG6767
FBtr0310663.1,CG6767
FBtr0076415.1,CG6767
FBtr0345033.1,CG6767
FBtr0345032.1,CG6767
FBtr0076394.1,CG16719
FBtr0346825.1,CR45804
FBtr0344820.1,CR45121
FBtr0345604.1,Ubc4
FBtr0345603.1,Ubc4
FBtr0076395.1,Ubc4
FBtr0076414.1,CG6761
FBtr0331543.1,CG6761
FBtr0330098.1,CG16711
FBtr0076396.1,CG16711
FBtr0076413.1,SH3PX1
FBtr0076400.1,vsg
FBtr0076399.1,vsg
FBtr0076398.1,vsg
FBtr0076401.1,vsg
FBtr0330097.1,vsg
FBtr0091797.1,snmRNA:838
FBtr0076412.1,CG18178
FBtr0331542.1,CG18178
FBtr0076402.1,CG14174
FBtr0306040.1,nbs
FBtr0306041.1,nbs
FBtr0076403.1,defl
FBtr0089410.1,Naa60
FBtr0114566.1,Naa60
FBtr0089411.1,Naa60
FBtr0076405.1,ATPsyn-b
FBtr0076410.1,CG6749
FBtr0309645.1,mir-4986
FBtr0309647.1,mir-4986
FBtr0309646.1,mir-4986
FBtr0299607.1,CG42268
FBtr0331539.1,CG42268
FBtr0299606.1,CG42268
FBtr0331538.1,CG42268
FBtr0301858.1,CG42268
FBtr0331541.1,CG42268
FBtr0331540.1,CG42268
FBtr0331537.1,CG42268
FBtr0339804.1,CR44348
FBtr0345852.1,CR45407
FBtr0076326.1,CG8177
FBtr0076325.1,CG8177
FBtr0076318.1,CG8177
FBtr0331848.1,CG8177
FBtr0076319.1,CG8177
FBtr0076317.1,CG8177
FBtr0076327.1,CG8177
FBtr0076324.1,CG8177
FBtr0076320.1,CG8177
FBtr0076321.1,CG8177
FBtr0076323.1,CG8177
FBtr0301228.1,CG8177
FBtr0076322.1,CG8177
FBtr0310627.1,Zasp67
FBtr0344234.1,Zasp67
FBtr0310629.1,Zasp67
FBtr0310626.1,Zasp67
FBtr0076328.1,Ilp1
FBtr0332818.1,CG32052
FBtr0076329.1,Ilp2
FBtr0076373.1,Ilp3
FBtr0076372.1,Ilp4
FBtr0332830.1,CG43897
FBtr0332829.1,CG43897
FBtr0332827.1,CG43897
FBtr0332828.1,CG43897
FBtr0332833.1,CG43897
FBtr0332824.1,CG43897
FBtr0332821.1,CG43897
FBtr0332825.1,CG43897
FBtr0332822.1,CG43897
FBtr0332819.1,CG43897
FBtr0332820.1,CG43897
FBtr0332831.1,CG43897
FBtr0332823.1,CG43897
FBtr0332832.1,CG43897
FBtr0332834.1,CG43897
FBtr0332835.1,CG43897
FBtr0332826.1,CG43897
FBtr0076371.1,Ilp5
FBtr0076370.1,I-2
FBtr0112935.1,I-2
FBtr0076369.1,Cdk8
FBtr0076368.1,RasGAP1
FBtr0076367.1,RasGAP1
FBtr0330168.1,RasGAP1
FBtr0300688.1,CG10809
FBtr0076366.1,CG10809
FBtr0076364.1,iPLA2-VIA
FBtr0076363.1,iPLA2-VIA
FBtr0076362.1,iPLA2-VIA
FBtr0076365.1,iPLA2-VIA
FBtr0076340.1,CG8108
FBtr0076339.1,CG8108
FBtr0345851.1,CR45406
FBtr0332687.1,CG34382
FBtr0332685.1,CG34382
FBtr0332686.1,CG34382
FBtr0112620.1,CG34382
FBtr0076361.1,Taf2
FBtr0332688.1,Taf2
FBtr0076343.1,CalpB
FBtr0304675.1,CalpB
FBtr0346922.1,CR45875
FBtr0113157.1,CG14164
FBtr0076359.1,CG14164
FBtr0076360.1,CG6709
FBtr0113156.1,CG6709
FBtr0076357.1,CG6707
FBtr0076358.1,CG6707
FBtr0076356.1,CG6707
FBtr0345694.1,nudE
FBtr0113158.1,nudE
FBtr0076344.1,nudE
FBtr0345695.1,nudE
FBtr0114600.1,nudE
FBtr0113159.1,nudE
FBtr0331579.1,CG34356
FBtr0331577.1,CG34356
FBtr0331578.1,CG34356
FBtr0331581.1,CG6685
FBtr0076355.1,CG6685
FBtr0076347.1,Dronc
FBtr0331580.1,CG6674
FBtr0076354.1,CG6674
FBtr0300239.1,CG42455
FBtr0300238.1,CG42455
FBtr0300237.1,CG42455
FBtr0076348.1,vnc
FBtr0076350.1,vnc
FBtr0076349.1,vnc
FBtr0076352.1,vnc
FBtr0076351.1,vnc
FBtr0076353.1,dpr6
FBtr0332665.1,dpr6
FBtr0344949.1,dpr6
FBtr0331536.1,dpr6
FBtr0332666.1,dpr6
FBtr0346941.1,CR45876
FBtr0346942.1,CR45877
FBtr0344950.1,CR45155
FBtr0346943.1,CR45878
FBtr0076316.1,CG14160
FBtr0076315.1,CG32053
FBtr0076314.1,CG32054
FBtr0303833.1,CG42825
FBtr0303832.1,CG42826
FBtr0346945.1,CR45879
FBtr0346944.1,CR45879
FBtr0331552.1,dpr10
FBtr0076308.1,dpr10
FBtr0076310.1,dpr10
FBtr0076309.1,dpr10
FBtr0114352.1,snoRNA:MeU2-A31
FBtr0076295.1,CG8072
FBtr0076311.1,CG6628
FBtr0076307.1,ect
FBtr0076305.1,ect
FBtr0331551.1,ect
FBtr0339899.1,ect
FBtr0301385.1,ect
FBtr0340688.1,CR44538
FBtr0345693.1,CG8065
FBtr0301227.1,CG8065
FBtr0076304.1,CG32055
FBtr0076302.1,scramb1
FBtr0076303.1,scramb1
FBtr0076301.1,scramb1
FBtr0340689.1,CR44542
FBtr0345847.1,CR45403
FBtr0340692.1,CR44541
FBtr0076300.1,Or67c
FBtr0340690.1,CR44539
FBtr0340691.1,CR44540
FBtr0076299.1,can
FBtr0345402.1,CR45242
FBtr0076297.1,Or67d
FBtr0347130.1,CR46003
FBtr0347128.1,CR46004
FBtr0347129.1,CR46004
FBtr0304225.1,mir-276b
FBtr0304226.1,mir-276b
FBtr0304227.1,mir-276b
FBtr0347136.1,CR46006
FBtr0347137.1,CR46006
FBtr0347138.1,CR46006
FBtr0347139.1,CR46006
FBtr0347140.1,CR46006
FBtr0304431.1,mir-276a
FBtr0304432.1,mir-276a
FBtr0304433.1,mir-276a
FBtr0345405.1,CR45245
FBtr0340693.1,CR44543
FBtr0334101.1,CR43990
FBtr0076281.1,CG12362
FBtr0076282.1,CG12362
FBtr0076294.1,Ir67b
FBtr0076293.1,Ir67c
FBtr0334100.1,Gem3
FBtr0076292.1,Gem3
FBtr0076285.1,CG32061
FBtr0076286.1,S-Lap3
FBtr0334099.1,S-Lap3
FBtr0334098.1,S-Lap3
FBtr0305093.1,A2bp1
FBtr0305097.1,A2bp1
FBtr0332985.1,A2bp1
FBtr0305096.1,A2bp1
FBtr0305094.1,A2bp1
FBtr0305095.1,A2bp1
FBtr0113419.1,A2bp1
FBtr0113418.1,A2bp1
FBtr0076288.1,S-Lap4
FBtr0344999.1,CG6527
FBtr0076291.1,CG6527
FBtr0300668.1,CG42521
FBtr0305200.1,CG43127
FBtr0305199.1,CG43127
FBtr0112432.1,CG34238
FBtr0076280.1,CG14151
FBtr0300949.1,CG42536
FBtr0300948.1,CG42535
FBtr0076253.1,hay
FBtr0114599.1,hay
FBtr0334066.1,CG34001
FBtr0300947.1,CG34001
FBtr0334067.1,E(z)
FBtr0273338.1,E(z)
FBtr0076279.1,E(z)
FBtr0076255.1,CG8009
FBtr0076254.1,CG8009
FBtr0076256.1,CG18628
FBtr0076278.1,CG32066
FBtr0076277.1,CG32066
FBtr0076258.1,CG14154
FBtr0076257.1,CG14154
FBtr0076259.1,CG14153
FBtr0331572.1,CG8003
FBtr0076260.1,CG8003
FBtr0113421.1,CG32068
FBtr0076262.1,simj
FBtr0331574.1,simj
FBtr0076264.1,simj
FBtr0331573.1,simj
FBtr0076263.1,simj
FBtr0076265.1,CG11811
FBtr0331576.1,CG33493
FBtr0089606.1,CG33493
FBtr0076276.1,CG6463
FBtr0089569.1,NijA
FBtr0089571.1,NijA
FBtr0089570.1,NijA
FBtr0331575.1,NijA
FBtr0334743.1,CG43245
FBtr0306304.1,CG43245
FBtr0340694.1,CR44544
FBtr0340695.1,CR44545
FBtr0340696.1,CR44546
FBtr0076266.1,CG12523
